job_title,min_salary,max_salary,currency,skills,publication_date,id,location,job_categories,experience,html_link,type,company_name,company_id,source,created
Pharmacy Manager,65.00,81.00,$,[],2024-03-17T12:39:34Z,13718272,"[{'name': 'Owings Mills, MD'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-manager-2e045c,external,CVS Health,12096,muse.com,2024-03-17 21:06:37
Pharmacy Technician,16.00,21.00,$,[],2024-03-17T12:36:11Z,13894447,"[{'name': 'Colonial Heights, VA'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-7715e1,external,CVS Health,12096,muse.com,2024-03-17 21:06:37
"Senior Communications Manager, Sleep & Respiratory Care  US : Pittsburgh, PA and Cambridge, MA",NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2024-02-03T12:41:08Z,13895541,"[{'name': 'Pittsburgh, PA'}]","[{'name': 'Media, PR, and Communications'}]",senior,https://www.themuse.com/jobs/philips/senior-communications-manager-sleep-respiratory-care-us-pittsburgh-pa-and-cambridge-ma,external,Philips,1103,muse.com,2024-03-17 21:06:37
Store Associate,15.50,19.00,$,[],2024-03-17T12:50:30Z,12298844,"[{'name': 'Huntington Park, CA'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-dfee72,external,CVS Health,12096,muse.com,2024-03-17 21:06:37
Pharmacy Technician,16.00,24.00,$,[],2024-03-17T12:45:18Z,13227213,"[{'name': 'Bridgeport, CT'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-a8b096,external,CVS Health,12096,muse.com,2024-03-17 21:06:37
Pharmacy Technician,16.00,21.00,$,[],2024-03-17T12:27:42Z,14100537,"[{'name': 'West Chester, PA'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-26d3b2,external,CVS Health,12096,muse.com,2024-03-17 21:06:37
Pharmacy Technician,16.00,24.00,$,[],2024-03-17T12:45:19Z,13190810,"[{'name': 'Laurel, MD'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-4968c8,external,CVS Health,12096,muse.com,2024-03-17 21:06:37
Drive with Lyft - Earn on Your Own Schedule,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2024-03-14T15:30:38Z,14276326,"[{'name': 'Kansas City, MO'}]",[{'name': 'Software Engineering'}],senior,https://www.themuse.com/jobs/lyft/drive-with-lyft-earn-on-your-own-schedule-501d1f,external,Lyft,11895,muse.com,2024-03-17 21:06:37
Pharmacy Manager,his pay range represents the base hourly rate or base annual full,"ime salary for all positions in the job grade within which this position falls.  The actual base salary offer will depend on a variety of factors including experience, education, geography and other relevant factors.",UNKOWN,[],2024-03-17T12:22:28Z,14177875,"[{'name': 'Saint Paul, MN'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-manager-7153ed,external,CVS Health,12096,muse.com,2024-03-17 21:06:37
Staff Pharmacist FT,60.00,73.00,$,[],2024-03-17T12:42:28Z,13400444,"[{'name': 'Danvers, MA'}]",[{'name': 'Healthcare'}],mid,https://www.themuse.com/jobs/cvshealth/staff-pharmacist-ft-474c25,external,CVS Health,12096,muse.com,2024-03-17 21:06:37
Pharmacy Technician,16.00,24.00,$,[],2024-03-17T12:45:18Z,13234300,"[{'name': 'Rahway, NJ'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-9583ba,external,CVS Health,12096,muse.com,2024-03-17 21:06:37
Senior Quality Manager (m/f/d),NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-05-29T23:37:21Z,11434705,"[{'name': 'Myślenice, Poland'}]",[{'name': 'Business Operations'}],senior,https://www.themuse.com/jobs/siemens/senior-quality-manager-mfd-cdac78,external,Siemens,11913,muse.com,2024-03-17 21:06:37
Management Assistant with German,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-05-27T23:38:47Z,11446552,"[{'name': 'Plovdiv, Bulgaria'}]",[{'name': 'Management'}],mid,https://www.themuse.com/jobs/siemens/management-assistant-with-german-f3fd3d,external,Siemens,11913,muse.com,2024-03-17 21:06:37
pharmacy tech,16.00,19.00,$,[],2024-03-17T12:32:15Z,14102663,"[{'name': 'Rohnert Park, CA'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-tech-32c24d,external,CVS Health,12096,muse.com,2024-03-17 21:06:37
District Support Pharmacist-Full Time,60.00,73.00,$,[],2024-03-17T12:22:29Z,14147976,"[{'name': 'Westchester, NY'}]",[{'name': 'Healthcare'}],mid,https://www.themuse.com/jobs/cvshealth/district-support-pharmacistfull-time-5404a7,external,CVS Health,12096,muse.com,2024-03-17 21:06:37
FPGA Engineer (Starshield),NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2024-02-07T23:06:33Z,13949050,"[{'name': 'El Segundo, CA'}]",[{'name': 'Software Engineering'}],mid,https://www.themuse.com/jobs/spacex/fpga-engineer-starshield-90e377,external,SpaceX,15000190,muse.com,2024-03-17 21:06:37
Store Associate,0.00,0.00,$,[],2024-03-17T12:50:29Z,12347657,"[{'name': 'Van Nuys, CA'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-aa1b71,external,CVS Health,12096,muse.com,2024-03-17 21:06:37
Pharmacy Technician,16.00,21.00,$,[],2024-03-17T12:50:31Z,12303054,"[{'name': 'Lake Orion, MI'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-322688,external,CVS Health,12096,muse.com,2024-03-17 21:06:37
Pharmacy Technician,16.00,19.50,$,[],2024-03-17T12:50:29Z,12373144,"[{'name': 'Columbia, SC'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-ffa911,external,CVS Health,12096,muse.com,2024-03-17 21:06:37
"Product Manager, Radiography",NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-04-29T23:35:09Z,11276468,"[{'name': 'Malvern, PA'}]",[{'name': 'Product Management'}],mid,https://www.themuse.com/jobs/siemens/product-manager-radiography-5a219a,external,Siemens,11913,muse.com,2024-03-17 21:06:37
Pharmacy Manager,65.00,81.00,$,[],2024-03-17T12:39:34Z,13718272,"[{'name': 'Owings Mills, MD'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-manager-2e045c,external,CVS Health,12096,muse.com,2024-03-17 21:06:37
Pharmacy Technician,16.00,21.00,$,[],2024-03-17T12:36:11Z,13894447,"[{'name': 'Colonial Heights, VA'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-7715e1,external,CVS Health,12096,muse.com,2024-03-17 21:06:37
"Senior Communications Manager, Sleep & Respiratory Care  US : Pittsburgh, PA and Cambridge, MA",NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2024-02-03T12:41:08Z,13895541,"[{'name': 'Pittsburgh, PA'}]","[{'name': 'Media, PR, and Communications'}]",senior,https://www.themuse.com/jobs/philips/senior-communications-manager-sleep-respiratory-care-us-pittsburgh-pa-and-cambridge-ma,external,Philips,1103,muse.com,2024-03-17 21:06:37
Store Associate,15.50,19.00,$,[],2024-03-17T12:50:30Z,12298844,"[{'name': 'Huntington Park, CA'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-dfee72,external,CVS Health,12096,muse.com,2024-03-17 21:06:37
Pharmacy Technician,16.00,24.00,$,[],2024-03-17T12:45:18Z,13227213,"[{'name': 'Bridgeport, CT'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-a8b096,external,CVS Health,12096,muse.com,2024-03-17 21:06:37
Pharmacy Technician,16.00,21.00,$,[],2024-03-17T12:27:42Z,14100537,"[{'name': 'West Chester, PA'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-26d3b2,external,CVS Health,12096,muse.com,2024-03-17 21:06:37
Pharmacy Technician,16.00,24.00,$,[],2024-03-17T12:45:19Z,13190810,"[{'name': 'Laurel, MD'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-4968c8,external,CVS Health,12096,muse.com,2024-03-17 21:06:37
Drive with Lyft - Earn on Your Own Schedule,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2024-03-14T15:30:38Z,14276326,"[{'name': 'Kansas City, MO'}]",[{'name': 'Software Engineering'}],senior,https://www.themuse.com/jobs/lyft/drive-with-lyft-earn-on-your-own-schedule-501d1f,external,Lyft,11895,muse.com,2024-03-17 21:06:37
